country,code,life,GDP
Fiji,FJI,65.57085366,1834.994609
France,FRA,76.6,21795.23783
"Micronesia, Fed. Sts.",FSM,66.19758537,1528.064694
Gabon,GAB,61.24014634,6250.643217
United Kingdom,GBR,75.8804878,19095.467
Georgia,GEO,69.99960976,1614.640122
Ghana,GHA,56.75163415,402.5888817
Guinea,GIN,49.91885366,441.925744
"Gambia, The",GMB,52.214,345.8546784
Guinea-Bissau,GNB,49.07631707,230.9791211
Equatorial Guinea,GNQ,48.18953659,297.1128769
Greece,GRC,76.93902439,9600.18513
Grenada,GRD,68.47502439,2295.976222
Greenland,GRL,65.06829268,18326.92852
Guatemala,GTM,62.23841463,835.2990465
Guyana,GUY,63.52317073,550.5930501
High income,HIC,75.39984052,18839.03716
"Hong Kong SAR, China",HKG,77.3804878,13485.54489
Honduras,HND,66.68904878,621.7969546
Heavily indebted poor countries (HIPC),HPC,49.58981921,365.2034708
IBRD only,IBD,65.27706755,1015.503575
IDA & IBRD total,IBT,63.09692503,873.5111886
IDA total,IDA,55.08515732,353.9412464
IDA blend,IDB,58.72617366,391.7301327
Indonesia,IDN,63.25990244,630.6685568
IDA only,IDX,52.84862019,337.1736073
India,IND,57.94373171,375.1520193
Ireland,IRL,74.74131707,14047.06638
"Iran, Islamic Rep.",IRN,63.88287805,2222.094654
Iraq,IRQ,66.24034146,10291.8602
Iceland,ISL,78.03634146,25592.14715
Israel,ISR,76.60731707,11264.01838
Italy,ITA,76.97073171,20757.08875
Jamaica,JAM,72.01597561,1921.426028
Jordan,JOR,69.92085366,1238.644312
Japan,JPN,78.83682927,25123.63179
Kazakhstan,KAZ,68.33658537,1647.463231
Kenya,KEN,58.80204878,365.6178212
Kyrgyz Republic,KGZ,68.29756098,608.9451631
Kiribati,KIR,60.35082927,392.3970541
"Korea, Rep.",KOR,71.2997561,6642.451218
Kuwait,KWT,72.28156098,8950.598481
Latin America & Caribbean (excluding high income),LAC,67.50868744,2546.519096
Lao PDR,LAO,53.55207317,203.764751
Lebanon,LBN,70.22114634,1050.116702
Liberia,LBR,47.20243902,182.7971869
Libya,LBY,68.62990244,6571.656342
St. Lucia,LCA,71.04943902,2874.457849
Latin America & Caribbean,LCN,67.75792616,2615.02405
Least developed countries: UN classification,LDC,51.6590421,320.1949097
Low income,LIC,49.79366992,299.1955496
Sri Lanka,LKA,69.6794878,470.3449569
Lower middle income,LMC,59.6152495,481.9523244
Low & middle income,LMY,63.03982044,857.544088
Lesotho,LSO,59.33109756,340.8898691
Late-demographic dividend,LTE,68.86780275,1093.101642
Luxembourg,LUX,75.01041463,34990.46359
