code,female1960,male1960,female1970,male1970,female1980,male1980,female1990,male1990,female2000,male2000,female2010,male2010
LAO,44.949,41.543,47.736,44.825,50.301,47.807,54.872,52.295,60.297,57.529,65.714,63.019
LBN,65.081,61.565,67.897,64.347,69.756,66.243,71.811,68.707,76.124,72.82,80.382,76.64
LBR,37.254,32.43,41.165,37.528,47.909,44.225,49.389,45.12,53.097,51.754,60.374,58.553
LBY,43.893,41.449,57.837,54.482,66.182,62.482,70.377,66.966,72.314,68.914,74.472,69.133
LCA,61.031,53.754,66.17,59.693,72.354,65.38,73.488,68.727,73.332,69.605,77.239,71.835
LCN,57.98015214,54.20092168,62.90889339,58.05336523,67.30507719,61.39413626,71.0984301,64.5814265,74.85842591,68.32090134,77.39900175,70.84662469
LDC,41.44997321,39.09916274,45.41406435,43.11584315,49.40398372,47.03704067,52.93512657,50.46218614,56.72446103,54.53650506,62.72650549,60.03957848
LIC,40.51618688,37.69795918,44.91745178,41.99959035,48.85020246,45.85586657,51.35522833,48.31201841,53.45870172,50.83410528,60.43222411,57.56293448
LIE,,,,,,,,,79.9,73.9,84.3,79.5
LKA,62.261,57.353,66.248,62.409,70.394,66.324,73.229,66.299,74.912,67.482,77.899,70.949
LMC,46.25190399,44.95987168,51.74834551,50.20328725,57.10774149,54.93123674,60.9166468,58.40804793,64.31866103,61.43830918,67.77494398,64.49057528
LMY,48.6578524,45.76148218,56.64030713,53.37789662,61.87340466,58.35561947,64.96421643,61.25607818,67.44015155,63.65979965,70.60516871,66.7567475
LSO,47.825,45.259,50.201,47.677,54.978,52.421,60.755,57.975,47.646,46.742,47.739,47.24
LTE,52.42751815,47.81847976,63.18676784,58.0695948,68.70966563,64.00919598,71.49002286,66.4376424,73.76852862,68.54785973,76.76934497,71.89042916
LTU,72.9,66.94,75.03,66.78,75.64,65.57,76.17,66.39,77.5,66.8,78.8,68
LUX,71.685,65.362,73.492,66.642,75.785,68.537,78.71,71.487,81.1,74.8,83.5,77.9
LVA,73.49,66.26,74.23,65.65,74.12,63.75,74.6,64.2,76,64.9,78.4,68.8
MAC,66.407,62.998,71.048,67.06,74.705,70.344,77.63,73.036,80.045,75.316,82.068,77.426
MAF,,,,,,,77.8,71.4,80.3,73.8,82,75.6
MAR,49.806,47.152,53.575,51.549,58.844,56.245,66.319,63.12,70.089,66.982,73.714,71.494
MCO,,,,,,,,,,,,
MDA,65.791,58.024,68.298,61.483,68.172,61.502,71.008,64.092,70.963,63.011,73.772,65.84
MDG,40.954,39.042,45.731,43.879,50.049,48.061,52.243,49.832,59.699,57.305,64.864,61.931
MDV,37.41,37.134,43.809,44.484,52.041,53.978,60.998,61.819,70.996,69.168,77.272,75.18
MEA,47.34600001,46.12790248,53.91833909,51.99852319,61.27814862,56.56659297,67.81582766,63.8865851,71.48320542,68.09838945,74.00789922,70.25370133
MEX,59.139,55.091,63.713,59.1,69.974,63.309,73.831,67.905,76.768,71.949,78.514,73.658
MHL,,,,,,,,,67.8,62.8,,
MIC,49.26876164,46.33642831,57.53480593,54.20445573,62.90248856,59.29820431,66.0993705,62.28579278,68.75101713,64.81272875,71.71431252,67.71967917
MKD,61.072,60.195,67.373,65.264,70.48,66.908,73.158,69.233,75.775,70.83,77.048,72.508
MLI,29.026,27.436,33.296,31.533,40.573,38.699,46.351,46.573,48.584,49.194,55.936,56.412
MLT,69.963,65.353,72.824,68.176,75.35,70.63,77.621,72.847,80.3,76.2,83.6,79.3
MMR,45.744,39.872,53.564,48.495,57.398,52.602,60.997,56.501,64.199,60.058,66.997,62.937
MNA,47.21703683,46.13245502,53.28994967,51.4897473,60.57050517,55.6253272,67.27014065,63.16102736,70.97843746,67.48562615,73.58474611,69.48147138
MNE,64.961,62.51,72.351,67.253,76.329,69.58,77.746,71.298,76.036,70.464,77.301,72.897
MNG,50.687,46.161,57.68,53.124,59.361,54.606,62.861,57.798,65.88,60.089,71.853,63.557
MNP,,,,,,,,,,,,
MOZ,36.381,33.692,40.826,37.734,43.47,40.396,44.705,41.622,50.509,46.951,54.848,51.683
MRT,43.92,43.067,50.201,48.065,55.673,52.88,59.69,57.091,61.66,58.453,63.553,60.533
MUS,60.626,56.954,65.552,60.8,71.107,63.021,73.4,65.6,75.3,68.2,76.65,69.46
MWI,38.335,37.239,41.231,39.822,45.714,43.813,44.983,42.607,44.125,44.037,57.834,55.886
MYS,60.322,58.669,65.651,63.332,69.634,66.562,72.627,68.977,74.956,70.879,76.498,71.929
NAC,73.19299693,66.75242656,74.84362989,67.31261444,77.52805308,70.15855138,78.98353235,72.04892009,79.55478504,74.35653852,81.25689901,76.51073284
NAM,49.111,44.756,54.578,50.574,59.596,55.861,63.789,58.783,57.191,53.149,65.387,59.712
NCL,61.2,56.2,66,60.2,70.475,62.85,73.2,67.9,78.8,71.7,80.7,74.4
NER,35.471,35.557,36.358,36.179,39.558,39.257,44.216,43.699,50.658,50.736,58.742,57.799
NGA,38.445,35.981,42.335,40.082,46.627,44.52,47.191,45.081,47.191,46.084,51.623,51.05
NIC,48.35,45.712,55.128,52.23,61.328,55.801,67.138,61.275,72.469,66.981,76.722,70.591
NLD,75.38,71.5,76.5,70.81,79.18,72.47,80.11,73.8,80.6,75.5,82.7,78.8
NOR,75.87,71.34,77.32,71.01,79.17,72.34,79.8,73.43,81.4,76,83.2,78.9
NPL,35.304,35.044,40.738,40.282,46.898,46.144,54.836,53.584,63.434,61.272,69.379,66.631
NRU,,,,,,,,,,,,
NZL,73.9,68.7,74.5,68.2,75.8,70,78.4,72.5,81.3,76.1,82.7,78.8
OED,70.23874401,64.59673283,72.79511761,66.38018474,75.76425519,68.89284797,78.1613964,71.33533529,80.17227359,74.1182339,82.23720647,76.69498464
OMN,43.504,41.87,51.459,49.115,61.431,58.11,69.232,65.397,74.453,70.36,78.245,73.965
OSS,53.55693323,49.26201087,57.25773762,53.10243163,61.1547122,56.84134573,64.48228068,60.43281291,61.89148729,59.08365271,66.29555391,64.1311819
PAK,45.481,45.109,52.931,52.83,57.468,56.627,60.837,59.42,63.606,61.98,66.105,64.265
PAN,61.944,59.87,67.021,64.158,72.697,67.955,76.018,70.216,77.686,72.641,79.987,73.889
PER,48.99,46.455,55.06,51.924,62.137,58.089,67.969,63.208,73.177,67.965,76.378,71.032
PHL,59.075,56.609,62.567,59.143,64.559,59.865,68.078,62.631,69.806,63.707,71.214,64.516
PLW,,,,,,,74.98,63.44,74.54,66.64,,
PNG,39.46,37.512,46.968,45.158,55.101,50.772,58.53,53.023,61.013,56.691,64.144,59.948
POL,70.6,64.9,73.3,66.6,74.4,66,75.5,66.5,78,69.7,80.6,72.1
PRE,40.1020309,37.65856151,44.54992067,42.09196924,49.0063035,46.14402365,50.9482969,48.04796685,51.64650834,49.64208333,57.47553952,55.31659647
PRI,71.487,66.084,74.894,68.353,77.155,70.414,78.698,69.856,80.92,72.66,82.501,74.517
PRK,53.863,48.424,62.49,56.228,68.983,62.662,72.859,65.997,68.97,61.185,72.448,65.521
PRT,65.668,60.086,70.3,64,74.8,67.8,77.5,70.6,79.9,72.9,82.1,76.1
PRY,65.822,61.862,67.538,63.429,69.014,64.635,70.318,65.817,72.314,67.942,74.452,70.253
PSS,55.51539878,51.92941359,59.85486658,56.46756033,63.43464541,60.14132691,65.36808219,61.97197166,68.84908855,64.66903928,71.55547631,66.83859075
PST,71.59670148,65.99532101,74.18757375,67.63499837,76.7987879,69.9090456,78.9819692,72.11586078,80.55783241,74.33398374,82.60307028,76.983014
PYF,57.888,54.899,62.139,58.51,66.971,62.548,71.092,66.673,75.285,69.75,78.031,73.471
QAT,63.324,59.189,69.933,67.149,73.814,71.818,76.163,74.119,77.713,75.336,79.19,76.526
ROU,67.514,63.86,70.369,65.853,71.78,66.53,73.05,66.59,74.8,67.7,77.3,69.8
RUS,70.243,62.067,73.44,63.08,72.96,61.39,74.26,63.8,72,59,74.9,63.1
RWA,43.875,40.701,45.959,42.702,49.547,46.504,36.105,30.99,53.763,42.887,65.296,57.693
SAS,41.4440727,42.44647722,47.72705185,48.49625452,54.22616172,53.87994325,58.6682764,57.79708159,63.76687797,62.08650927,67.91255428,65.53463903
SAU,47.755,43.677,54.76,50.786,64.967,61.331,70.951,67.468,74.218,70.915,75.02,72.446
SDN,49.652,46.793,53.703,50.81,55.748,52.806,57.049,54.053,59.887,56.154,63.677,60.486
SEN,38.983,37.466,40.143,38.342,50.234,47.713,58.817,55.627,59.391,56.218,65.676,62.432
SGP,69.195,62.293,71.706,65.016,74.7,69.8,77.6,73.1,80,76,84,79.2
SLB,50.15,48.65,55.156,53.656,59.637,58.18,57.072,56.355,64.108,61.626,68.445,65.752
SLE,31.968,28.773,35.235,34.013,40.934,40.38,37.861,36.87,39.755,37.676,48.903,47.587
SLV,52.303,47.705,57.989,52.153,61.951,51.367,68.944,59.268,73.335,64.319,76.391,67.175
SMR,,,,,,,,,84,77.4,86.12545455,80.33454545
SOM,38.525,35.481,42.526,39.445,46.316,43.23,46.95,43.903,52.484,49.349,55.655,52.47
SRB,,,,,,,,,74.4,68.9,77,71.8
SSA,41.53738964,38.86758975,45.76527116,42.869962,49.73296251,46.66649694,51.54347397,48.36603833,51.47617495,49.26757819,57.51962463,55.21690888
SSD,33.096,30.325,37.236,34.44,40.494,37.639,44.957,42.149,50.476,48.022,54.656,52.721
SSF,41.53738964,38.86758975,45.76527116,42.869962,49.73296251,46.66649694,51.54347397,48.36603833,51.47617495,49.26757819,57.52163293,55.21836616
SST,56.77628628,52.6834079,60.37245106,56.34283362,63.81361244,59.52031498,66.39868904,62.06247296,64.83933518,61.22239929,68.37772926,65.2894466
STP,51.969,49.006,57.235,54.567,62.117,58.983,63.643,59.989,65.139,61.534,67.842,63.962
SUR,61.544,57.905,65.528,61.134,68.757,63.258,70.951,64.217,71.471,64.556,73.692,67.192
SVK,72.205,67.853,73.363,67.068,74.25,66.75,75.44,66.64,77.2,69.1,78.8,71.6
SVN,72,66.1,72.4,65,75.1,67.3,77.2,69.4,79.1,71.9,82.7,76.3
SWE,74.87,71.23,77.2,72.22,78.85,72.78,80.4,74.81,82,77.4,83.5,79.5
SWZ,46.238,42.325,49.951,46.067,56.207,52.34,60.975,57.793,49.228,48.127,47.915,48.756
SXM,,,,,,,,,,,,
SYC,,,,,,,,,,,77.5,69.1
SYR,53.052,52.498,59.826,58.55,66.706,64.97,71.229,69.037,74.919,70.629,76.846,67.985
TCA,,,,,,,,,,,,
TCD,40.174,35.961,42.665,40.009,45.747,43.654,48.106,45.799,48.646,46.561,50.804,48.965
TEA,47.00508186,43.86950593,59.98577364,56.24792247,66.65203532,63.41896142,69.77912694,66.07840291,72.45800425,68.56014462,75.29607128,71.44357331
TEC,67.41104674,60.40874425,70.62840825,62.38244108,71.48802529,62.32372343,73.10111133,64.23145008,73.19675588,63.43428792,75.79867459,66.75247861
TGO,41.225,39.366,47.938,45.199,54.135,50.561,57.132,54.626,54.301,52.676,57.951,56.644
THA,57.059,52.452,61.888,57.012,67.494,61.544,73.439,67.175,74.516,66.937,77.144,70.409
TJK,58.63,53.795,62.456,57.718,64.737,59.85,66.087,59.796,67.673,59.907,72.012,65.279
