station,date,min,max,rain
240,20161201,61,102,0
380,20151201,86,122,160
380,20151202,74,115,0
380,20151203,68,115,0
380,20151204,53,99,49
380,20151205,49,79,0
380,20151206,53,118,0
380,20151207,96,140,-1
380,20151208,83,132,40
380,20151209,46,96,0
380,20151210,28,74,0
380,20151211,36,88,150
380,20151212,58,100,-1
380,20151213,61,99,49
380,20151214,41,98,0
380,20151215,59,112,4
380,20151216,93,127,90
380,20151217,117,163,-1
380,20151218,105,139,-1
380,20151219,104,149,0
380,20151220,103,128,7
380,20151221,90,115,19
380,20151222,103,131,34
380,20151223,71,122,16
380,20151224,68,143,28
380,20151225,72,129,33
380,20151226,94,141,0
380,20151227,75,135,0
380,20151228,38,133,0
380,20151229,50,104,-1
380,20151230,41,101,0
380,20151231,57,102,15
380,20160101,36,87,2
380,20160102,48,95,26
380,20160103,44,88,78
380,20160104,39,76,28
380,20160105,43,80,1
380,20160106,48,78,4
380,20160107,41,81,66
380,20160108,24,79,0
380,20160109,24,81,0
380,20160110,41,91,15
380,20160111,32,78,56
380,20160112,44,75,11
380,20160113,16,56,57
380,20160114,13,49,40
380,20160115,6,22,12
380,20160116,-1,50,7
380,20160117,-43,9,10
380,20160118,-54,-4,0
380,20160119,-80,4,0
380,20160120,-28,10,-1
380,20160121,-23,43,19
380,20160122,-22,45,56
380,20160123,40,78,0
380,20160124,36,85,4
380,20160125,73,162,0
380,20160126,86,108,13
380,20160127,85,110,47
380,20160128,15,97,30
380,20160129,20,91,0
380,20160130,25,89,163
380,20160131,34,116,36
380,20160201,99,116,14
380,20160202,50,109,200
380,20160203,30,69,13
380,20160204,23,79,48
380,20160205,22,101,4
380,20160206,74,111,0
380,20160207,60,112,14
380,20160208,66,101,41
380,20160209,22,107,97
380,20160210,24,51,117
380,20160211,21,69,4
380,20160212,-24,57,-1
380,20160213,-26,42,30
380,20160214,1,29,35
380,20160215,-29,44,36
380,20160216,-44,34,0
380,20160217,-59,43,0
380,20160218,-6,55,0
380,20160219,2,77,5
380,20160220,45,109,104
380,20160221,98,120,10
380,20160222,29,106,132
380,20160223,2,80,26
380,20160224,-15,64,0
380,20160225,-34,60,-1
380,20160226,-11,53,0
380,20160227,-3,72,0
380,20160228,-19,56,0
380,20160229,-26,68,0
380,20160301,-49,59,23
380,20160302,26,95,26
380,20160303,10,70,29
380,20160304,-4,51,52
380,20160305,-4,47,1
380,20160306,-4,53,57
380,20160307,-25,49,1
380,20160308,-32,55,-1
380,20160309,6,84,0
380,20160310,-25,95,0
380,20160311,-12,98,0
380,20160312,-27,86,0
380,20160313,-17,97,0
380,20160314,-15,83,0
380,20160315,-20,78,0
380,20160316,2,88,0
380,20160317,-12,106,0
380,20160318,-14,47,-1
380,20160319,37,61,-1
380,20160320,41,88,3
380,20160321,50,97,-1
380,20160322,29,113,-1
380,20160323,53,104,-1
380,20160324,59,93,-1
380,20160325,29,96,62
380,20160326,12,154,0
380,20160327,68,136,26
380,20160328,49,133,23
380,20160329,53,111,19
380,20160330,61,122,12
380,20160331,51,77,28
