country,code,years,,intervals,frequency,,,frequency
"Macedonia, FYR",MKD,75.34239024,5.068478048,,,,,
Mali,MLI,57.98626829,1.597253658,,,,,
Malta,MLT,81.74634146,6.349268292,,,,,
Myanmar,MMR,65.85785366,3.171570732,,,,,
Middle East & North Africa (excluding high income),MNA,72.26739736,4.453479472,,,,,
Montenegro,MNE,76.18070732,5.236141464,,,,,
Mongolia,MNG,69.46390244,3.892780488,,,,,
Northern Mariana Islands,MNP,,-10,,,,,
Mozambique,MOZ,55.02595122,1.005190244,,,,,
Mauritania,MRT,63.01658537,2.603317074,,,,,
Mauritius,MUS,74.19439024,4.838878048,,,,,
Malawi,MWI,62.72163415,2.54432683,,,,,
Malaysia,MYS,74.71829268,4.943658536,,,,,
North America,NAC,79.24410183,5.848820366,,,,,
Namibia,NAM,64.68019512,2.936039024,,,,,
New Caledonia,NCL,77.57317073,5.514634146,,,,,
Niger,NER,61.4584878,2.29169756,,,,,
Nigeria,NGA,52.75426829,0.550853658,,,,,
Nicaragua,NIC,74.81014634,4.962029268,,,,,
Netherlands,NLD,81.30487805,6.26097561,,,,,
Norway,NOR,81.75121951,6.350243902,,,,,
Nepal,NPL,69.60468293,3.920936586,,,,,
Nauru,NRU,,-10,,,,,
New Zealand,NZL,81.40487805,6.28097561,,,,,
OECD members,OED,80.11714456,6.023428912,,,,,
Oman,OMN,77.08509756,5.417019512,,,,,
Other small states,OSS,66.4473324,3.28946648,,,,,
Pakistan,PAK,66.18336585,3.23667317,,,,,
Panama,PAN,77.59514634,5.519029268,,,,,
Peru,PER,74.52553659,4.905107318,,,,,
Philippines,PHL,68.26563415,3.65312683,,,,,
Palau,PLW,,-10,,,,,
Papua New Guinea,PNG,62.60692683,2.521385366,,,,,
Poland,POL,77.25365854,5.450731708,,,,,
Pre-demographic dividend,PRE,58.36457966,1.672915932,,,,,
Puerto Rico,PRI,79.37473171,5.874946342,,,,,
"Korea, Dem. People?s Rep.",PRK,70.07468293,4.014936586,,,,,
Portugal,PRT,80.72195122,6.144390244,,,,,
Paraguay,PRY,72.92170732,4.584341464,,,,,
Pacific island small states,PSS,69.91903222,3.983806444,,,,,
Post-demographic dividend,PST,80.47215977,6.094431954,,,,,
French Polynesia,PYF,76.54168293,5.308336586,,,,,
Qatar,QAT,78.59680488,5.719360976,,,,,
Romania,ROU,75.06341463,5.012682926,,,,,
Russian Federation,RUS,70.36585366,4.073170732,,,,,
Rwanda,RWA,63.96565854,2.793131708,,,,,
South Asia,SAS,68.1210446,3.62420892,,,,,
Saudi Arabia,SAU,74.33721951,4.867443902,,,,,
Sudan,SDN,63.45853659,2.691707318,,,,,
Senegal,SEN,66.37258537,3.274517074,,,,,
Singapore,SGP,82.64634146,6.529268292,,,,,
Solomon Islands,SLB,67.93080488,3.586160976,,,,,
Sierra Leone,SLE,50.87878049,0.175756098,,,,,
El Salvador,SLV,72.75456098,4.550912196,,,,,
San Marino,SMR,,-10,,,,,
Somalia,SOM,55.35480488,1.070960976,,,,,
Serbia,SRB,75.53414634,5.106829268,,,,,
Sub-Saharan Africa (excluding high income),SSA,58.55747868,1.711495736,,,,,
South Sudan,SSD,55.68221951,1.136443902,,,,,
Sub-Saharan Africa,SSF,58.55885496,1.711770992,,,,,
Small states,SST,67.83853586,3.567707172,,,,,
Sao Tome and Principe,STP,66.38460976,3.276921952,,,,,
Suriname,SUR,71.15143902,4.230287804,,,,,
Slovak Republic,SVK,76.71463415,5.34292683,,,,,
Slovenia,SVN,80.5195122,6.10390244,,,,,
Sweden,SWE,81.95609756,6.391219512,,,,,
Swaziland,SWZ,48.93473171,-0.213053658,,,,,
Sint Maarten (Dutch part),SXM,,-10,,,,,
Seychelles,SYC,73.22926829,4.645853658,,,,,
Syrian Arab Republic,SYR,70.07102439,4.014204878,,,,,
Turks and Caicos Islands,TCA,,-10,,,,,
Chad,TCD,51.55580488,0.311160976,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,74.034774,4.8069548,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,72.39720521,4.479441042,,,,,
Togo,TGO,59.65580488,1.931160976,,,,,
Thailand,THA,74.42202439,4.884404878,,,,,
Tajikistan,TJK,69.59797561,3.919595122,,,,,
Turkmenistan,TKM,65.59853659,3.119707318,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,74.83097562,4.966195124,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,72.2596293,4.45192586,,,,,
Timor-Leste,TLS,68.25914634,3.651829268,,,,,
Tonga,TON,72.79219512,4.558439024,,,,,
South Asia (IDA & IBRD),TSA,68.1210446,3.62420892,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,58.55885496,1.711770992,,,,,
Trinidad and Tobago,TTO,70.44056098,4.088112196,,,,,
Tunisia,TUN,74.14390244,4.828780488,,,,,
Turkey,TUR,75.1635122,5.03270244,,,,,
Tuvalu,TUV,,-10,,,,,
Tanzania,TZA,64.94390244,2.988780488,,,,,
Uganda,UGA,58.46641463,1.693282926,,,,,
Ukraine,UKR,71.18658537,4.237317074,,,,,
Upper middle income,UMC,74.43883867,4.887767734,,,,,
Uruguay,URY,76.98614634,5.397229268,,,,,
United States,USA,78.94146341,5.788292682,,,,,
Uzbekistan,UZB,68.33902439,3.667804878,,,,,
St. Vincent and the Grenadines,VCT,72.93685366,4.587370732,,,,,
"Venezuela, RB",VEN,74.23619512,4.847239024,,,,,
British Virgin Islands,VGB,,-10,,,,,
Virgin Islands (U.S.),VIR,79.77317073,5.954634146,,,,,
Vietnam,VNM,75.62912195,5.12582439,,,,,
Vanuatu,VUT,71.91831707,4.383663414,,,,,
West Bank and Gaza,PSE,72.90402439,4.580804878,,,,,
World,WLD,71.45499816,4.290999632,,,,,
Samoa,WSM,73.51182927,4.702365854,,,,,
"Yemen, Rep.",YEM,63.81819512,2.763639024,,,,,
South Africa,ZAF,57.18212195,1.43642439,,,,,
"Congo, Dem. Rep.",COD,58.65919512,1.731839024,,,,,
Zambia,ZMB,60.04704878,2.009409756,,,,,
Zimbabwe,ZWE,57.49831707,1.499663414,,,,,
